docketId,caseId,dateDecision,decisionType,term,naturalCourt,chief,docket,issue,issueArea,decisionDirection,declarationUncon,caseDisposition,partyWinning,Reversal,majVotes,minVotes,voteAFortas,directionAFortas,majorityAFortas,voteAJGoldberg,directionAJGoldberg,majorityAJGoldberg,voteAMKennedy,directionAMKennedy,majorityAMKennedy,voteAScalia,directionAScalia,majorityAScalia,voteBRWhite,directionBRWhite,majorityBRWhite,voteCEWhittaker,directionCEWhittaker,majorityCEWhittaker,voteCThomas,directionCThomas,majorityCThomas,voteDHSouter,directionDHSouter,majorityDHSouter,voteEKagan,directionEKagan,majorityEKagan,voteEWarren,directionEWarren,majorityEWarren,voteFFrankfurter,directionFFrankfurter,majorityFFrankfurter,voteFMVinson,directionFMVinson,majorityFMVinson,voteFMurphy,directionFMurphy,majorityFMurphy,voteHABlackmun,directionHABlackmun,majorityHABlackmun,voteHHBurton,directionHHBurton,majorityHHBurton,voteHLBlack,directionHLBlack,majorityHLBlack,voteJGRoberts,directionJGRoberts,majorityJGRoberts,voteJHarlan2,directionJHarlan2,majorityJHarlan2,voteJPStevens,directionJPStevens,majorityJPStevens,voteLFPowell,directionLFPowell,majorityLFPowell,voteNMGorsuch,directionNMGorsuch,majorityNMGorsuch,votePStewart,directionPStewart,majorityPStewart,voteRBGinsburg,directionRBGinsburg,majorityRBGinsburg,voteRHJackson,directionRHJackson,majorityRHJackson,voteSAAlito,directionSAAlito,majoritySAAlito,voteSDOConnor,directionSDOConnor,majoritySDOConnor,voteSFReed,directionSFReed,majoritySFReed,voteSGBreyer,directionSGBreyer,majoritySGBreyer,voteSMinton,directionSMinton,majoritySMinton,voteSSotomayor,directionSSotomayor,majoritySSotomayor,voteTCClark,directionTCClark,majorityTCClark,voteTMarshall,directionTMarshall,majorityTMarshall,voteWBRutledge,directionWBRutledge,majorityWBRutledge,voteWEBurger,directionWEBurger,majorityWEBurger,voteWHRehnquist,directionWHRehnquist,majorityWHRehnquist,voteWJBrennan,directionWJBrennan,majorityWJBrennan,voteWODouglas,directionWODouglas,majorityWODouglas
1946-021-01,1946-021,1946-Dec-23,1,1946,1301,Vinson,58,30130,3,1,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1
1946-022-01,1946-022,1946-Dec-23,1,1946,1301,Vinson,60,70100,7,2,1,3,1,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-023-01,1946-023,1946-Dec-23,1,1946,1301,Vinson,23,30130,3,2,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,3,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-023-02,1946-023,1946-Dec-23,1,1946,1301,Vinson,86,30130,3,2,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,3,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-024-01,1946-024,1946-Dec-23,1,1946,1301,Vinson,35,120030,12,2,1,2,0,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,2,1,0,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-025-01,1946-025,1946-Dec-23,1,1946,1301,Vinson,53,10430,1,1,1,4,1,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,2,0,0
1946-026-01,1946-026,1947-Jan-06,1,1946,1301,Vinson,70,80180,8,2,1,2,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,1,0,1,,,,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,2,1,0,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-026-02,1946-026,1947-Jan-06,1,1946,1301,Vinson,71,80180,8,2,1,2,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,1,0,1,,,,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,2,1,0,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-027-01,1946-027,1947-Jan-06,1,1946,1301,Vinson,28,80180,8,2,1,4,1,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,1,0,1,,,,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,2,1,0,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-028-01,1946-028,1947-Jan-06,1,1946,1301,Vinson,75,80100,8,2,1,2,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,3,0,1,,,,,,,,,,1,0,1
