id,Rehnquist,Stevens,OConnor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
308,0,0,0,0,0,0,0,0,0
309,1,1,1,0,0,1,0,1,1
310,0,0,0,0,0,0,0,0,1
311,0,1,0,0,1,0,0,0,0
312,0,0,0,0,0,0,0,0,0
313,1,1,1,1,1,1,1,1,1
314,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0
316,0,1,0,0,0,0,0,0,0
317,0,1,0,0,0,0,0,0,1
318,1,1,1,1,1,1,1,1,1
319,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0
321,0,0,0,1,0,0,0,0,1
322,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1
324,1,1,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1
326,1,1,1,0,0,1,0,1,1
327,0,0,1,1,0,0,1,1,0
328,0,0,1,1,0,0,1,1,0
329,0,0,0,0,0,0,0,0,0
330,1,1,1,1,1,1,1,1,1
331,0,0,0,0,0,0,0,0,0
332,0,1,0,0,0,0,0,0,0
333,0,1,1,1,1,1,1,1,1
334,0,0,0,0,0,0,0,0,0
335,0,1,0,0,0,1,0,1,0
336,0,0,0,0,0,0,0,0,0
337,0,1,0,0,0,1,0,1,1
338,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0
340,0,1,0,0,0,1,0,0,0
341,0,1,0,0,0,1,0,0,0
342,1,1,1,1,1,1,1,1,1
343,0,1,1,0,0,0,0,1,1
344,0,1,0,0,0,0,0,1,1
345,0,1,0,0,0,0,0,0,1
346,0,1,1,0,1,1,0,0,1
347,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0
351,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1,1
353,0,1,0,0,0,0,0,1,1
354,0,1,0,0,0,1,0,1,1
355,0,0,0,,0,0,,0,0
356,0,0,0,0,0,0,0,0,0
357,0,1,0,1,1,1,1,0,0
358,1,1,0,0,1,1,0,1,1
359,1,0,0,0,0,0,0,0,1
360,1,1,1,1,1,1,1,1,1
361,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0
363,,1,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0
365,0,1,0,0,0,0,0,0,0
366,0,,0,0,0,0,0,,
367,0,0,0,0,0,0,0,0,0
368,0,1,1,0,1,1,0,1,1
369,0,1,0,0,0,1,0,1,1
370,0,1,0,0,0,1,0,1,1
371,0,1,0,0,0,1,0,1,1
372,0,1,0,0,0,1,0,1,1
373,1,1,0,0,1,1,0,1,1
374,0,1,0,0,0,1,0,1,1
375,0,0,0,0,0,0,0,0,0
376,0,1,0,0,0,1,0,1,1
377,0,1,0,0,0,1,0,1,1
378,0,1,0,0,0,1,0,1,1
379,0,1,0,0,0,1,0,1,1
380,0,1,0,0,0,1,0,1,1
381,0,1,1,0,0,1,0,1,1
382,0,1,0,0,0,1,0,1,1
383,0,1,0,0,0,1,0,1,1
384,0,1,0,0,0,1,0,1,1
385,0,1,0,0,0,1,0,1,1
386,0,1,0,0,0,1,0,1,1
387,0,1,0,0,0,1,0,1,1
388,0,1,1,0,0,1,0,1,1
389,0,1,0,0,0,0,0,1,0
390,1,0,0,1,0,1,1,0,0
391,1,0,0,1,0,1,1,0,0
392,0,0,1,0,0,,0,0,1
393,0,0,1,0,0,,0,0,1
394,1,1,0,0,0,1,0,1,1
395,0,1,,0,0,0,0,0,1
396,0,1,1,0,1,1,0,1,1
397,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0
399,0,1,0,0,0,0,0,0,1
400,1,1,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1,1,1
402,0,1,0,0,0,1,0,1,1
403,0,1,0,0,0,1,0,1,1
404,1,1,1,1,1,1,1,1,1
405,1,1,1,1,1,1,1,1,1
406,0,1,0,0,0,0,0,0,1
407,0,1,0,0,0,0,0,0,0
408,1,1,1,1,1,1,1,1,1
409,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,1,0,0,1
412,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0
414,1,1,1,1,1,1,1,1,1
415,0,1,0,0,0,0,0,0,0
416,1,1,1,1,1,1,1,1,1
417,0,0,0,0,0,0,0,0,0
418,1,1,1,1,1,1,1,1,1
419,1,1,1,1,1,1,1,1,1
420,1,0,1,1,1,1,1,0,1
421,1,1,1,1,1,1,1,1,1
422,1,1,1,1,1,1,1,1,1
423,,,,,,,,,
424,1,0,0,0,1,1,0,0,0
425,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0
427,0,1,0,0,0,0,0,1,1
428,1,0,0,0,1,0,0,1,0
429,0,0,0,0,0,0,0,0,0
430,0,1,0,0,0,1,0,1,1
431,0,1,0,0,0,1,0,1,1
432,0,1,0,1,0,1,0,1,1
433,0,1,0,1,0,1,0,1,1
434,0,1,0,0,0,0,0,0,1
435,0,1,1,0,1,1,0,1,1
436,0,0,0,0,0,0,0,0,0
437,0,1,0,0,0,0,0,0,0
438,0,1,0,0,0,0,0,0,0
439,0,0,1,1,0,0,1,0,0
440,0,0,0,0,0,0,0,0,0
441,0,1,1,0,0,1,0,0,1
442,1,0,0,1,1,0,1,1,0
443,0,1,1,0,0,1,0,0,1
444,1,0,0,1,1,0,1,1,0
445,0,0,0,0,0,0,0,0,0
446,0,1,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0
449,1,1,1,1,1,1,1,1,1
450,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0
453,1,1,1,1,1,1,1,1,1
454,0,0,0,0,0,0,0,0,0
455,1,1,1,1,1,1,1,1,1
456,1,1,1,1,0,1,1,1,1
457,0,1,1,0,0,1,0,1,1
458,0,1,0,0,0,0,0,0,0
459,1,1,1,1,1,1,1,1,1
460,0,0,0,0,0,0,0,0,0
461,0,1,0,1,0,1,0,1,0
462,0,0,0,0,0,0,0,0,0
463,0,1,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0
465,0,1,0,0,0,0,0,0,0
466,1,1,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1,1,1
468,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0
470,,1,1,,1,1,,1,1
471,0,1,0,0,0,0,0,1,1
472,0,1,0,0,0,0,0,1,1
473,0,1,0,0,0,0,0,1,1
474,0,1,0,0,0,0,0,1,1
475,1,1,1,1,1,1,1,1,1
476,1,1,1,0,1,1,0,1,1
477,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,1,0,1,1
479,0,0,0,0,0,1,0,1,1
480,0,0,0,0,0,1,0,1,1
481,0,0,0,0,0,1,0,1,1
482,1,1,1,1,1,1,1,1,1
483,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0
485,0,1,0,0,0,1,0,1,1
486,0,1,0,0,1,1,0,1,1
487,0,0,0,0,0,0,0,0,0
488,1,1,1,0,1,1,0,1,1
489,1,1,1,0,1,1,0,1,1
490,1,1,1,0,1,1,0,1,1
491,0,0,0,0,0,0,0,0,0
492,0,1,0,0,0,1,0,1,0
493,0,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0,0
496,1,0,1,1,1,1,0,1,0
497,,,,,,,,,
498,0,0,0,0,0,0,0,0,0
499,0,1,0,0,0,0,0,0,1
500,1,1,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1,1,1
502,1,1,0,0,1,1,0,1,1
503,1,1,0,0,1,1,0,1,1
504,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0
506,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1,1,1
508,0,1,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0
511,1,0,0,1,0,1,0,1,0
512,1,0,0,1,0,1,0,1,0
513,0,0,0,0,0,0,0,0,0
514,0,1,0,0,0,0,0,0,1
515,0,1,0,0,0,0,0,0,1
516,0,1,0,0,0,1,0,1,1
517,1,0,0,1,0,0,0,1,0
518,1,1,1,1,1,1,1,1,1
519,1,0,,1,1,1,1,1,1
520,0,1,0,0,1,1,0,1,1
521,0,1,0,0,1,1,0,1,1
522,1,1,1,1,1,1,1,1,1
523,0,1,0,0,0,1,0,1,1
524,0,0,0,1,0,1,1,0,0
525,0,1,0,0,0,1,1,1,1
526,0,1,0,0,0,1,1,1,1
527,0,1,0,0,0,1,0,1,1
528,1,1,1,1,1,1,1,1,1
529,1,1,0,0,1,1,0,1,1
530,,,,,,,,,
531,,,,,,,,,
532,,,,,,,,,
533,0,1,0,0,0,1,0,1,1
534,0,1,0,0,0,1,0,1,1
535,0,1,0,0,0,1,0,1,1
536,0,0,0,0,0,1,0,0,0
537,0,0,0,0,0,1,0,0,0
538,0,1,0,0,1,1,0,1,1
539,0,0,0,0,0,0,0,1,1
540,0,1,0,1,0,1,0,1,0
541,1,1,1,0,1,1,0,1,1
542,1,1,1,0,1,1,0,1,1
543,1,1,1,1,1,1,1,1,1
544,0,0,0,0,0,0,0,0,0
545,1,1,1,1,1,1,1,1,1
546,0,0,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0,0,
548,1,1,1,1,1,1,1,1,1
549,1,1,1,1,1,1,1,1,1
550,0,1,0,0,0,1,0,1,0
551,0,0,0,0,0,0,0,,
552,0,0,0,0,0,0,0,,
553,0,0,0,1,0,0,1,0,0
554,1,1,1,1,1,1,1,1,1
555,0,0,0,0,0,0,0,0,0
556,1,1,1,1,1,1,1,1,1
557,0,0,0,0,0,0,0,0,0
558,0,1,0,0,0,1,0,1,1
559,0,1,0,0,0,0,0,0,0
560,0,1,0,0,0,0,0,0,0
561,1,0,1,1,1,1,1,1,1
562,0,1,0,1,1,1,1,1,0
563,1,1,1,1,1,1,1,1,1
564,1,1,1,1,1,1,1,1,1
565,0,0,0,0,0,0,0,0,0
566,1,1,1,1,1,1,0,1,1
567,1,1,1,1,1,1,0,1,1
568,1,1,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1,1
570,,,,,,,,,
571,0,0,0,0,0,0,0,0,
572,,,,,,,,,
573,,,,,,,,,
574,0,0,,0,0,1,0,0,0
575,0,0,,0,0,1,0,0,0
576,0,1,,1,1,1,0,1,0
577,0,1,,1,1,1,0,1,0
578,0,1,,1,1,1,0,1,0
579,0,1,,1,1,1,0,1,0
580,0,1,,1,1,1,0,1,0
581,0,1,,1,1,1,0,1,0
582,0,1,,1,1,1,0,1,0
583,0,1,,1,1,1,0,1,0
584,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,1,0,0,0
588,0,0,0,1,0,0,1,0,0
589,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0
591,0,1,0,0,0,0,0,0,0
592,0,1,0,0,0,0,0,,0
593,0,1,0,0,0,0,0,0,0
594,1,1,1,1,0,1,0,1,1
595,0,1,0,0,1,1,0,1,1
596,0,1,0,0,1,1,0,1,1
597,0,,0,0,0,0,0,0,
598,0,,0,0,0,0,0,0,
599,0,,0,0,0,0,0,0,
600,0,,0,0,0,0,0,0,0
601,0,1,0,0,0,0,0,0,0
602,0,1,0,0,0,0,0,0,0
603,0,,0,0,0,0,0,0,0
604,0,1,0,0,0,0,0,0,0
605,1,1,1,1,1,1,1,1,1
606,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0
609,0,1,1,0,0,1,0,1,1
610,0,1,0,1,0,1,1,1,0
611,0,1,0,0,0,0,0,0,0
612,0,1,0,0,0,0,0,0,0
613,0,1,0,0,0,0,0,0,0
614,0,1,0,0,0,0,0,0,0
615,1,0,1,0,1,1,1,1,1
616,0,0,0,0,0,0,0,0,0
617,0,1,0,0,0,1,0,1,0
618,0,1,0,0,1,1,0,1,1
619,0,1,1,0,1,1,0,1,1
620,1,1,1,1,1,1,1,1,1
621,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,,
624,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0
626,0,1,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0
628,0,1,1,1,1,1,0,1,1
629,0,1,1,1,1,1,0,1,1
630,0,1,1,1,1,1,0,1,1
631,0,0,0,0,0,0,0,0,0
632,1,1,1,1,1,1,1,1,1
633,0,1,0,0,0,0,0,1,0
634,1,1,1,1,1,1,1,1,1
635,,,,,,,,,
636,0,1,0,0,0,0,0,0,0
637,0,1,1,0,0,1,0,1,1
638,0,0,0,0,0,0,0,0,0
639,0,0,1,0,0,1,0,1,1
640,0,1,0,0,1,0,0,1,1
641,1,1,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1,1,1
643,0,1,0,0,0,0,0,0,0
644,0,1,0,0,0,0,0,0,0
645,0,1,0,0,0,0,0,0,0
646,1,1,0,1,0,1,1,0,1
647,0,1,0,0,0,0,0,1,1
648,0,0,0,0,0,0,0,1,
649,0,0,0,1,0,1,0,1,0
650,0,1,1,0,1,1,0,1,1
651,1,1,1,1,1,1,1,1,1
652,1,0,0,0,1,0,0,1,0
653,1,1,1,1,1,1,1,1,1
654,1,1,1,1,1,1,1,1,1
655,0,0,0,0,0,0,0,0,0
656,0,1,1,0,0,1,0,1,1
657,1,1,1,1,1,1,,1,1
658,0,1,0,0,1,1,0,1,1
659,0,0,0,0,1,1,0,0,0
660,0,1,0,0,0,1,0,1,1
661,0,1,0,0,0,0,0,1,0
662,0,1,0,0,0,1,0,1,1
663,0,1,0,0,0,1,0,1,1
664,0,0,1,0,0,0,0,0,1
665,0,1,1,0,1,0,0,1,1
666,1,1,1,1,1,1,1,1,1
667,0,,0,0,0,0,0,0,
668,0,1,0,0,0,0,0,0,0
669,0,1,0,0,0,0,0,0,1
670,0,1,0,0,0,0,0,0,1
671,0,1,0,0,0,1,0,1,1
672,0,1,1,1,1,1,0,1,1
673,0,1,0,0,0,0,0,0,1
674,0,1,1,0,1,1,0,1,1
675,0,1,0,0,0,1,0,1,1
676,0,1,0,0,0,1,0,1,1
677,0,1,0,0,0,1,0,1,1
678,0,1,0,0,0,1,0,1,1
679,0,1,0,0,0,1,0,1,1
680,0,1,0,0,0,1,0,1,1
681,0,1,0,0,0,0,0,0,1
682,0,1,0,0,0,0,0,0,0
683,,0,0,,0,0,,0,0
684,1,1,1,0,1,1,0,1,1
685,1,1,1,0,1,1,0,1,1
686,1,1,1,0,1,1,0,1,1
687,1,1,1,0,1,1,0,1,1
688,0,1,0,0,0,0,0,0,0
689,0,1,0,0,0,0,0,0,0
690,0,1,0,0,0,0,0,0,0
691,0,1,0,0,0,0,0,0,0
692,0,1,0,0,0,0,0,0,0
693,0,1,0,0,0,0,0,0,0
694,1,1,1,1,1,1,1,1,1
695,0,1,0,0,0,0,0,0,0
696,,,,,,,,,
697,1,1,1,1,1,1,1,1,1
698,0,0,0,0,0,0,0,0,0
699,0,1,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,1
701,0,0,0,0,0,0,0,0,1
